Tycho2|m<8.5
HD 8357	1	22	56.7582	7	25	9.3179	7.424	--
HD 8302	1	22	23.4256	5	15	4.9774	7.517	--
--	1	23	46.8754	6	29	56.6300	8.389	--
--	1	24	25.3915	6	29	3.4816	8.180	--
Tyc2 0027 00801 1	1	22	46.8889	6	25	55.4952	7.999	--
HD 8875	1	27	39.8056	5	21	10.0194	7.121	--
--	1	34	34.9445	0	13	57.4407	8.017	--
--	1	32	58.8870	0	7	36.9085	8.264	--
--	1	35	2.0177	0	1	9.7303	8.161	--
HD 10165	1	39	25.1047	0	36	43.6546	7.681	--
--	1	35	55.8138	1	16	30.4582	8.310	--
--	1	32	18.5297	1	34	19.3553	8.142	--
HD 9670	1	34	48.8641	0	56	41.1526	6.955	--
HD 10930	1	47	21.6774	0	48	44.0037	7.910	--
HD 11088	1	49	0.3382	1	19	53.5122	7.404	--
HD 10467	1	42	10.3671	2	18	28.8728	7.532	--
--	1	40	52.0529	1	37	42.1459	8.414	--
--	1	48	17.0525	0	27	7.7298	8.140	--
HD 10955	1	47	35.8652	0	9	18.8208	7.917	--
--	1	43	46.9120	0	54	8.8510	8.017	--
--	1	59	10.3386	0	30	24.9007	8.308	--
--	1	51	34.3700	2	23	10.0954	8.296	--
HD 11456	1	52	38.3634	2	29	53.7586	7.630	--
HD 11803	1	55	53.8032	1	50	59.6336	6.792	--
HD 11803	1	55	53.8032	1	50	59.6336	6.840	--
--	1	32	44.4803	3	1	56.4757	8.039	--
HD 10057	1	38	19.9178	2	35	9.8505	7.087	--
--	1	34	3.8968	4	7	43.7252	8.213	--
HD 9371	1	32	14.9378	3	41	6.5794	7.584	--
--	1	33	45.4864	3	46	19.7888	8.308	--
--	1	36	16.9561	4	18	51.5875	8.006	--
--	1	39	43.9565	3	27	19.8158	8.207	--
HD 10743	1	45	4.9930	2	30	11.3346	7.322	--
HD 10698	1	44	35.9542	3	13	25.3652	6.909	--
--	1	48	14.7849	2	42	40.8765	8.478	--
--	1	40	46.9741	2	42	17.7129	8.437	--
--	1	45	45.1349	3	10	31.2574	8.415	--
Tyc2 0032 00383 1	1	41	53.1439	2	42	15.7912	7.936	--
Tyc2 0032 00555 1	1	43	59.0076	4	59	44.9565	7.973	--
--	1	41	6.6738	3	42	50.0412	8.183	--
HD 11037	1	48	26.0185	3	41	7.6075	6.013	--
HD 10795	1	45	43.8327	3	40	1.9923	7.003	--
--	1	43	51.9138	3	35	23.8272	8.412	--
HD 10809	1	45	54.9974	3	25	3.1930	6.859	--
--	1	51	1.0197	4	13	14.0442	8.419	--
--	1	52	47.5737	4	39	46.8630	8.076	--
--	1	59	48.8402	4	35	30.9900	8.411	--
Tyc2 0033 01190 1	1	54	48.2565	3	23	37.4574	7.810	--
111Xi  Psc	1	53	33.3498	3	11	15.1100	4.709	--
--	1	33	32.7299	6	33	59.9279	8.483	--
--	1	34	46.1380	6	35	11.0020	8.083	--
--	1	31	6.5059	6	37	10.1207	8.366	--
HD 9882	1	36	41.2563	6	43	4.8638	7.152	--
--	1	37	2.1926	5	37	50.8422	8.276	--
--	1	30	50.1835	5	58	24.7777	8.417	--
98Mu  Psc	1	30	11.1149	6	8	37.7602	4.995	--
--	1	41	23.7499	6	2	45.7208	8.032	--
HD 11170	1	49	55.9844	7	13	24.7413	7.470	--
106Nu  Psc	1	41	25.8941	5	29	15.3899	4.587	--
--	1	46	32.2924	6	8	58.5592	8.412	--
--	1	49	30.2575	5	37	34.9018	8.471	--
HD 10609	1	43	38.5151	5	44	43.7954	7.713	--
--	1	40	23.5553	7	5	11.6900	8.332	--
HD 11286	1	50	56.4405	6	0	24.3204	7.847	--
HD 11730	1	55	18.3531	6	26	13.8777	7.557	--
--	1	58	56.4751	6	40	26.7266	8.441	--
HD 12203	1	59	58.4068	6	2	7.7588	6.869	--
--	2	3	33.4855	1	36	36.6999	8.208	--
HD 12942	2	6	48.3014	1	26	31.6338	7.228	--
HD 12513	2	2	46.7409	1	56	17.7476	7.656	--
--	2	8	41.7506	0	55	45.1500	8.193	--
60    Cet	2	3	11.6509	0	7	42.6181	5.444	--
HD 12923	2	6	29.3052	0	2	7.3956	6.395	--
--	2	10	12.6514	0	29	39.7616	8.370	--
--	2	11	44.0959	0	13	24.7661	8.324	--
--	2	18	41.5101	0	19	53.5614	8.452	--
--	2	17	11.7459	1	30	31.3219	8.475	--
